t  x  y  th  vel  obstacle
2084  -1.00000  -0.74045  89  0.23127  0
2235  -1.00000  -0.70576  89  0.23476  0
2385  -1.00000  -0.67055  89  0.23709  0
2536  -1.00000  -0.63499  90  0.23846  0
2686  -1.00000  -0.59922  90  0.23903  0
2838  -1.00000  -0.56336  90  0.23894  0
2989  -1.00001  -0.52752  90  0.23833  0
3141  -1.00002  -0.49177  90  0.23731  0
3291  -1.00004  -0.45618  90  0.23597  0
3441  -1.00006  -0.42078  90  0.23438  0
3592  -1.00010  -0.38562  90  0.23264  0
3742  -1.00015  -0.35073  90  0.23078  0
3892  -1.00022  -0.31611  90  0.22886  0
4044  -1.00030  -0.28178  90  0.22692  0
4195  -1.00040  -0.24774  90  0.22499  0
4345  -1.00051  -0.21400  90  0.22310  0
4495  -1.00064  -0.18053  90  0.22126  0
4645  -1.00079  -0.14734  90  0.21949  0
4796  -1.00095  -0.11442  90  0.21780  0
4947  -1.00113  -0.08175  90  0.21619  0
5098  -1.00132  -0.04932  90  0.21466  0
5248  -1.00152  -0.01712  90  0.21321  0
5399  -1.00172  0.01486  90  0.21183  0
5552  -1.00192  0.04663  90  0.21052  0
5701  -1.00212  0.07821  90  0.20927  0
5851  -1.00230  0.10960  90  0.20806  0
6002  -1.00246  0.14080  90  0.20688  0
6154  -1.00258  0.17184  90  0.20572  0
6305  -1.00267  0.20269  90  0.20456  0
6456  -1.00269  0.23338  89  0.20338  0
6606  -1.00265  0.26388  89  0.20216  0
6758  -1.00251  0.29421  89  0.20088  0
6910  -1.00226  0.32434  89  0.19953  0
7063  -1.00188  0.35427  88  0.19808  0
7215  -1.00134  0.38397  88  0.19651  0
7364  -1.00062  0.41344  88  0.19480  0
7515  -0.99968  0.44264  87  0.19293  0
7666  -0.99850  0.47156  87  0.19088  0
7817  -0.99702  0.50015  86  0.18864  0
7969  -0.99522  0.52839  85  0.18618  0
8120  -0.99305  0.55623  84  0.18351  0
8270  -0.99046  0.58364  83  0.18062  0
8421  -0.98740  0.61056  82  0.17750  0
8573  -0.98381  0.63694  80  0.17417  0
8725  -0.97965  0.66273  79  0.17065  0
8875  -0.97484  0.68787  77  0.16697  4
9026  -0.96933  0.71230  69  0.15580  4
9178  -0.96105  0.73416  61  0.14862  4
9329  -0.95029  0.75368  53  0.14490  0
9478  -0.93728  0.77109  46  0.14393  0
9630  -0.92229  0.78663  39  0.14493  0
9781  -0.90555  0.80050  34  0.14721  0
9933  -0.88727  0.81289  29  0.15020  0
10083  -0.86767  0.82400  25  0.15348  0
10234  -0.84693  0.83398  22  0.15679  0
10385  -0.82520  0.84298  19  0.15995  0
10535  -0.80263  0.85111  17  0.16278  0
10690  -0.77936  0.85853  15  0.16522  0
10842  -0.75553  0.86533  14  0.16726  0
10992  -0.73125  0.87163  13  0.16890  0
11143  -0.70660  0.87751  12  0.17018  0
11293  -0.68168  0.88304  11  0.17115  0
11443  -0.65655  0.88830  11  0.17186  0
11593  -0.63127  0.89333  10  0.17236  0
11744  -0.60587  0.89817  10  0.17270  0
11895  -0.58040  0.90287  10  0.17293  0
12045  -0.55486  0.90743  9  0.17310  0
